zone_class,osm_id,centroid_lon,centroid_lat,geometry_type
residential,22826379,72.655798,23.073744,Polygon
industrial,29490335,72.517886,23.049042,Polygon
industrial,29492754,72.592679,23.071173,Polygon
open-space,49406375,72.570157,23.01095,Polygon
mixed-use,49736665,72.587033,23.023172,Polygon
residential,62531507,72.642855,23.199178,Polygon
residential,62531510,72.620004,23.208216,Polygon
residential,62531513,72.636459,23.200949,Polygon
residential,62531515,72.629052,23.202259,Polygon
residential,62553550,72.649703,23.207343,Polygon
commercial,62553551,72.656435,23.217922,Polygon
residential,80831907,72.570796,23.009616,Polygon
open-space,80831917,72.571302,23.011135,Polygon
commercial,85208812,72.637834,23.193566,Polygon
industrial,116801086,72.549576,23.165642,Polygon
residential,118695847,72.593775,23.106421,Polygon
residential,118696147,72.582134,23.096928,Polygon
residential,118696271,72.56979,23.105135,Polygon
residential,120327574,72.568458,23.105075,Polygon
residential,120327575,72.567436,23.104661,Polygon
industrial,137989387,72.559235,22.973268,Polygon
residential,142748769,72.568467,23.008448,Polygon
mixed-use,150633578,72.506554,23.019029,Polygon
residential,170607714,72.474657,23.021568,Polygon
commercial,172144073,72.552141,23.04561,Polygon
mixed-use,190709072,72.550042,23.037365,Polygon
commercial,229021673,72.498651,23.05016,Polygon
commercial,229021674,72.498413,23.050076,Polygon
commercial,229021718,72.499764,23.050652,Polygon
residential,239876591,72.642208,23.173791,Polygon
residential,239945749,72.564748,23.068371,Polygon
commercial,239946296,72.566688,23.068283,Polygon
commercial,244327265,72.536003,22.997309,Polygon
industrial,244328439,72.682153,23.032246,Polygon
industrial,244328441,72.678801,23.020974,Polygon
open-space,244342863,72.65201,23.192866,Polygon
open-space,245173457,72.606663,23.00064,Polygon
open-space,245777093,72.605607,22.998311,Polygon
residential,246026125,72.614216,23.124444,Polygon
residential,246026130,72.614162,23.12406,Polygon
residential,255198262,72.527165,23.039341,Polygon
residential,257623239,72.526924,23.038913,Polygon
mixed-use,257623327,72.528182,23.040221,Polygon
commercial,262316357,72.632011,23.196387,Polygon
commercial,279531504,72.505622,23.010711,Polygon
mixed-use,295981932,72.546177,23.033249,Polygon
commercial,297224085,72.560061,23.085782,Polygon
residential,297317215,72.564335,23.088724,Polygon
commercial,310366759,72.637866,23.192847,Polygon
residential,316004496,72.509993,23.060045,Polygon
mixed-use,316004546,72.512332,23.058103,Polygon
commercial,316004614,72.51091,23.057531,Polygon
residential,316612703,72.685363,23.108584,Polygon
commercial,317319722,72.51857,23.050829,Polygon
commercial,317319728,72.51884,23.051645,Polygon
commercial,317354139,72.571623,23.027266,Polygon
commercial,317354735,72.570843,23.024116,Polygon
residential,317354736,72.569908,23.024302,Polygon
commercial,317355346,72.572486,23.023195,Polygon
commercial,317355347,72.571946,23.023146,Polygon
commercial,317355348,72.571635,23.02314,Polygon
commercial,317356791,72.571704,23.019632,Polygon
commercial,317360797,72.570178,23.02276,Polygon
commercial,317373087,72.563927,23.023703,Polygon
commercial,317373089,72.559981,23.02412,Polygon
commercial,317473068,72.554565,23.020976,Polygon
commercial,317473070,72.557041,23.02178,Polygon
commercial,317473071,72.556818,23.02238,Polygon
commercial,317473583,72.550544,23.021896,Polygon
