zone_class,centroid_lon,centroid_lat,geometry_type
commercial,72.635143,23.192938,MultiPolygon
commercial,72.628081,23.192602,MultiPolygon
commercial,72.680487,23.165135,MultiPolygon
commercial,72.599205,23.027305,MultiPolygon
commercial,72.63701,23.20201,MultiPolygon
commercial,72.685258,23.164397,MultiPolygon
commercial,72.655132,23.148379,MultiPolygon
commercial,72.636657,23.191502,MultiPolygon
commercial,72.651447,23.165406,MultiPolygon
commercial,72.642152,23.180797,MultiPolygon
commercial,72.62982,23.181216,MultiPolygon
commercial,72.635599,23.171431,MultiPolygon
commercial,72.613235,23.192529,MultiPolygon
commercial,72.504426,23.01545,MultiPolygon
commercial,72.504358,23.014612,MultiPolygon
commercial,72.503684,23.013106,MultiPolygon
commercial,72.499775,22.993915,MultiPolygon
commercial,72.508809,23.025946,MultiPolygon
commercial,72.503487,23.012324,MultiPolygon
commercial,72.475141,23.017248,MultiPolygon
commercial,72.584266,23.030203,MultiPolygon
commercial,72.594752,23.031688,MultiPolygon
commercial,72.597766,23.033087,MultiPolygon
commercial,72.585773,23.028877,MultiPolygon
commercial,72.586806,23.032975,MultiPolygon
commercial,72.584267,23.032664,MultiPolygon
commercial,72.576338,23.033447,MultiPolygon
commercial,72.577759,23.033341,MultiPolygon
commercial,72.577382,23.028468,MultiPolygon
commercial,72.576612,23.031273,MultiPolygon
commercial,72.580099,23.02803,MultiPolygon
commercial,72.57936,23.031617,MultiPolygon
commercial,72.472592,22.991655,MultiPolygon
commercial,72.579001,23.03978,MultiPolygon
commercial,72.569383,23.032646,MultiPolygon
commercial,72.560061,23.085782,MultiPolygon
commercial,72.590541,23.074949,MultiPolygon
commercial,72.572812,23.048423,MultiPolygon
commercial,72.652572,23.212403,MultiPolygon
commercial,72.646837,23.219946,MultiPolygon
commercial,72.508309,23.050051,MultiPolygon
commercial,72.508776,23.048707,MultiPolygon
commercial,72.604532,23.05166,MultiPolygon
commercial,72.599258,23.02924,MultiPolygon
commercial,72.5989,23.032605,MultiPolygon
commercial,72.562751,23.03909,MultiPolygon
commercial,72.583605,23.047317,MultiPolygon
commercial,72.583687,23.04684,MultiPolygon
commercial,72.583955,23.046653,MultiPolygon
commercial,72.584096,23.046347,MultiPolygon
commercial,72.584195,23.046063,MultiPolygon
commercial,72.648797,23.215678,MultiPolygon
commercial,72.584166,23.045747,MultiPolygon
commercial,72.584309,23.045411,MultiPolygon
commercial,72.564245,23.028963,MultiPolygon
commercial,72.641495,23.073348,MultiPolygon
commercial,72.571577,23.01949,MultiPolygon
commercial,72.582118,23.026258,MultiPolygon
commercial,72.583484,23.026275,MultiPolygon
commercial,72.564304,23.015009,MultiPolygon
commercial,72.56562,23.015563,MultiPolygon
commercial,72.565082,23.015076,MultiPolygon
commercial,72.569667,23.013091,MultiPolygon
commercial,72.523866,23.047626,MultiPolygon
commercial,72.580301,23.010897,MultiPolygon
commercial,72.540258,23.04463,MultiPolygon
commercial,72.530878,23.046768,MultiPolygon
commercial,72.54018,23.046385,MultiPolygon
commercial,72.5371,23.010915,MultiPolygon
commercial,72.543429,23.021466,MultiPolygon
commercial,72.531009,23.023719,MultiPolygon
commercial,72.531199,23.024657,MultiPolygon
commercial,72.554113,23.021651,MultiPolygon
commercial,72.529704,23.018123,MultiPolygon
commercial,72.529786,23.016383,MultiPolygon
commercial,72.529692,23.01737,MultiPolygon
commercial,72.530074,23.015255,MultiPolygon
commercial,72.544455,23.025582,MultiPolygon
commercial,72.529884,23.028069,MultiPolygon
commercial,72.580252,23.00246,MultiPolygon
commercial,72.568782,23.019752,MultiPolygon
commercial,72.566646,23.017134,MultiPolygon
commercial,72.567657,23.018212,MultiPolygon
commercial,72.569333,23.018711,MultiPolygon
commercial,72.588123,23.022857,MultiPolygon
commercial,72.58626,23.024222,MultiPolygon
commercial,72.585479,23.025649,MultiPolygon
commercial,72.585632,23.026493,MultiPolygon
commercial,72.585135,23.024397,MultiPolygon
commercial,72.579818,23.024329,MultiPolygon
commercial,72.584279,23.02696,MultiPolygon
commercial,72.58193,23.026806,MultiPolygon
commercial,72.582658,23.027644,MultiPolygon
commercial,72.585316,23.027579,MultiPolygon
commercial,72.584951,23.026381,MultiPolygon
commercial,72.556156,23.019096,MultiPolygon
commercial,72.559507,23.013663,MultiPolygon
commercial,72.562903,23.01009,MultiPolygon
commercial,72.586026,23.011371,MultiPolygon
commercial,72.582419,23.011479,MultiPolygon
commercial,72.586515,23.012761,MultiPolygon
commercial,72.580071,23.012452,MultiPolygon
commercial,72.529363,23.039829,MultiPolygon
commercial,72.526573,23.048316,MultiPolygon
commercial,72.598037,23.026188,MultiPolygon
commercial,72.588336,23.024288,MultiPolygon
commercial,72.590393,23.02483,MultiPolygon
commercial,72.589105,23.024332,MultiPolygon
commercial,72.599151,23.018519,MultiPolygon
commercial,72.697313,23.161358,MultiPolygon
commercial,72.586433,23.027617,MultiPolygon
commercial,72.530075,23.013054,MultiPolygon
commercial,72.582176,23.02838,MultiPolygon
commercial,72.578637,23.027414,MultiPolygon
