road_class,name,start_lon,start_lat,end_lon,end_lat,num_points
motorway,NH48,72.7272063,23.22,72.7221912,23.2104124,5
motorway,,72.7177736,23.2037663,72.7220651,23.2104617,11
motorway,Ahmadabad Vadodara Expressway,72.6322581,22.9861094,72.6320215,22.9862507,2
motorway,Ahmadabad Vadodara Expressway,72.6320215,22.9862507,72.6284712,22.9883455,8
motorway,Ahmadabad Vadodara Expressway,72.6368049,22.9834723,72.6365846,22.9835982,2
motorway,Ahmadabad Vadodara Expressway,72.6365846,22.9835982,72.6322581,22.9861094,3
motorway,,72.5989223,23.0224606,72.5988441,23.0224598,2
motorway,,72.5988006,23.0232892,72.5987328,23.0225767,16
motorway,,72.5987328,23.0225767,72.5988006,23.0232892,15
motorway,,72.43,22.9100906,72.4522302,22.9345376,18
motorway,NH8A,72.5016394,22.9867785,72.4972349,22.98341,3
motorway,,72.481008,22.9676002,72.4758099,22.9619139,10
motorway,Gandhinagar-Sarkhej Highway,72.6209612,23.1955265,72.610606,23.1902363,15
motorway,,72.43,22.9851464,72.446518,22.9867346,14
motorway,,72.4483681,22.9298496,72.43,22.9099209,19
motorway,,72.4465426,22.9866451,72.43,22.9850463,19
motorway,Sarkhej-Gandhinagar Highway,72.6104826,23.1903744,72.6209515,23.1956546,13
motorway,,72.6209515,23.1956546,72.6225389,23.1962311,2
motorway,,72.6400827,23.1959886,72.6400827,23.1959886,23
motorway,,72.6399677,23.1962082,72.6722191,23.22,45
motorway,,72.6724263,23.22,72.6399578,23.1956492,51
motorway,Gandhinagar-Sarkhej Highway,72.6393436,23.1956521,72.6377643,23.196296,7
motorway,Sardar Patel Ring Road,72.6464132,23.1154665,72.6516003,23.1155958,3
motorway,Tapovan Circle,72.6143338,23.1193643,72.6143338,23.1193643,24
motorway,Sardar Patel Ring Road,72.6147476,23.1190469,72.6276831,23.1177483,20
motorway,Sardar Patel Ring Road,72.6276433,23.1176244,72.6145764,23.118744,21
motorway,Sardar Patel Ring Road,72.6315944,23.1169883,72.6464132,23.1154665,14
motorway,Bhat Circle,72.6315553,23.1166193,72.6315553,23.1166193,24
motorway,Sardar Patel Ring Road,72.651605,23.1154779,72.6463993,23.1153424,3
motorway,,72.6793393,23.123291,72.6788302,23.1222927,2
motorway,,72.6786486,23.1223311,72.6792151,23.1233431,3
motorway,,72.6792151,23.1233431,72.6812042,23.127378,4
motorway,,72.6788302,23.1222927,72.6768776,23.1182756,6
motorway,,72.6812847,23.1272546,72.6793393,23.123291,5
motorway,,72.676713,23.1183442,72.6786486,23.1223311,8
motorway,,72.6887348,23.1403994,72.6812847,23.1272546,11
motorway,,72.6244059,23.196612,72.6209612,23.1955265,9
motorway,,72.6225389,23.1962311,72.6240899,23.1966912,5
motorway,,72.6812042,23.127378,72.6886341,23.1404685,22
motorway,Sardar Patel Ring Road,72.6276831,23.1177483,72.6280246,23.1176982,2
motorway,Sardar Patel Ring Road,72.6280246,23.1176982,72.6310412,23.1170864,7
motorway,Sardar Patel Ring Road,72.6279495,23.1175761,72.6276433,23.1176244,2
motorway,Sardar Patel Ring Road,72.6309304,23.1167516,72.6279495,23.1175761,6
